State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Created,Last Updated
Virginia,Fauquier,51,61,2022-03-29,7,Good,Ozone,51-061-0002,1,2022-03-29 16:30:00,2022-12-31 23:54:00
Virginia,Fauquier,51,61,2022-03-30,19,Good,Ozone,51-061-0002,1,2022-03-30 16:30:00,2022-12-31 23:54:00
Alabama,Sumter,1,119,06-12-2023,7,Good,PM2.5,01-119-0003,1,2023-12-06 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,07-12-2023,8,Good,PM2.5,01-119-0003,1,2023-12-07 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,08-12-2023,11,Good,PM2.5,01-119-0003,1,2023-12-08 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,09-12-2023,4,Good,PM2.5,01-119-0003,1,2023-12-09 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,10-12-2023,4,Good,PM2.5,01-119-0003,1,2023-12-10 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,11-12-2023,7,Good,PM2.5,01-119-0003,1,2023-12-11 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,12-12-2023,13,Good,PM2.5,01-119-0003,1,2023-12-12 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,13-12-2023,51,Good,PM2.5,01-119-0003,1,2023-12-13 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,14-12-2023,14,Good,PM2.5,01-119-0003,1,2023-12-14 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,15-12-2023,26,Good,PM2.5,01-119-0003,1,2023-12-15 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,16-12-2023,12,Good,PM2.5,01-119-0003,1,2023-12-16 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,17-12-2023,15,Good,PM2.5,01-119-0003,1,2023-12-17 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,18-12-2023,33,Good,PM2.5,01-119-0003,1,2023-12-18 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,19-12-2023,17,Good,PM2.5,01-119-0003,1,2023-12-19 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,20-12-2023,22,Good,PM2.5,01-119-0003,1,2023-12-20 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,21-12-2023,36,Good,PM2.5,01-119-0003,1,2023-12-21 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,22-12-2023,4,Good,PM2.5,01-119-0003,1,2023-12-22 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,23-12-2023,9,Good,PM2.5,01-119-0003,1,2023-12-23 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,24-12-2023,30,Good,PM2.5,01-119-0003,1,2023-12-24 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,25-12-2023,7,Good,PM2.5,01-119-0003,1,2023-12-25 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,26-12-2023,19,Good,PM2.5,01-119-0003,1,2023-12-26 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,27-12-2023,28,Good,PM2.5,01-119-0003,1,2023-12-27 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,28-12-2023,22,Good,PM2.5,01-119-0003,1,2023-12-28 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,29-12-2023,14,Good,PM2.5,01-119-0003,1,2023-12-29 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,30-12-2023,18,Good,PM2.5,01-119-0003,1,2023-12-30 16:30:00,2023-12-31 23:42:00
Alabama,Sumter,1,119,31-12-2023,11,Good,PM2.5,01-119-0003,1,2023-12-31 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,01-01-2023,10,Good,PM2.5,01-125-0011,1,2023-01-01 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,02-01-2023,18,Good,PM2.5,01-125-0011,1,2023-01-02 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,03-01-2023,18,Good,PM2.5,01-125-0011,1,2023-01-03 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,04-01-2023,37,Good,PM2.5,01-125-0011,1,2023-01-04 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,05-01-2023,19,Good,PM2.5,01-125-0011,1,2023-01-05 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,06-01-2023,13,Good,PM2.5,01-125-0011,1,2023-01-06 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,07-01-2023,21,Good,PM2.5,01-125-0011,1,2023-01-07 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,08-01-2023,15,Good,PM2.5,01-125-0011,1,2023-01-08 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,09-01-2023,9,Good,PM2.5,01-125-0011,1,2023-01-09 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,10-01-2023,9,Good,PM2.5,01-125-0011,1,2023-01-10 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,11-01-2023,18,Moderate,PM2.5,01-125-0011,1,2023-01-11 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,12-01-2023,26,Good,PM2.5,01-125-0011,1,2023-01-12 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,13-01-2023,5,Good,PM2.5,01-125-0011,1,2023-01-13 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,14-01-2023,19,Good,PM2.5,01-125-0011,1,2023-01-14 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,15-01-2023,11,Good,PM2.5,01-125-0011,1,2023-01-15 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,16-01-2023,16,Good,PM2.5,01-125-0011,1,2023-01-16 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,17-01-2023,8,Good,PM2.5,01-125-0011,1,2023-01-17 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,18-01-2023,17,Good,PM2.5,01-125-0011,1,2023-01-18 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,19-01-2023,9,Good,PM2.5,01-125-0011,1,2023-01-19 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,20-01-2023,13,Good,PM2.5,01-125-0011,1,2023-01-20 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,21-01-2023,6,Good,PM2.5,01-125-0011,1,2023-01-21 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,22-01-2023,17,Good,PM2.5,01-125-0011,1,2023-01-22 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,23-01-2023,15,Good,PM2.5,01-125-0011,1,2023-01-23 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,24-01-2023,4,Moderate,PM2.5,01-125-0011,1,2023-01-24 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,25-01-2023,17,Good,PM2.5,01-125-0011,1,2023-01-25 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,26-01-2023,8,Good,PM2.5,01-125-0011,1,2023-01-26 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,27-01-2023,30,Good,PM2.5,01-125-0011,1,2023-01-27 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,28-01-2023,10,Good,PM2.5,01-125-0011,1,2023-01-28 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,29-01-2023,16,Moderate,PM2.5,01-125-0011,1,2023-01-29 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,30-01-2023,13,Good,PM2.5,01-125-0011,1,2023-01-30 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,31-01-2023,11,Good,PM2.5,01-125-0011,1,2023-01-31 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,01-02-2023,7,Good,PM2.5,01-125-0011,1,2023-02-01 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,02-02-2023,18,Good,PM2.5,01-125-0011,1,2023-02-02 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,03-02-2023,11,Good,PM2.5,01-125-0011,1,2023-02-03 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,04-02-2023,14,Good,PM2.5,01-125-0011,1,2023-02-04 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,05-02-2023,9,Good,PM2.5,01-125-0011,1,2023-02-05 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,06-02-2023,14,Good,PM2.5,01-125-0011,1,2023-02-06 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,07-02-2023,29,Moderate,PM2.5,01-125-0011,1,2023-02-07 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,08-02-2023,9,Moderate,PM2.5,01-125-0011,1,2023-02-08 16:30:00,2023-12-31 23:42:00
Alabama,Tuscaloosa,1,125,09-02-2023,8,Good,PM2.5,01-125-0011,1,2023-02-09 16:30:00,2023-12-31 23:42:00
