State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Created,Last Updated
Alaska,Aleutians East ,2,13,2021-01-01,7,Good,PM2.5,02-013-0002,1,2021-01-01 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-04,8,Good,PM2.5,02-013-0002,1,2021-01-04 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-07,11,Good,PM2.5,02-013-0002,1,2021-01-07 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-10,4,Good,PM2.5,02-013-0002,1,2021-01-10 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-13,4,Good,PM2.5,02-013-0002,1,2021-01-13 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-16,7,Good,PM2.5,02-013-0002,1,2021-01-16 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-19,13,Good,PM2.5,02-013-0002,1,2021-01-19 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-22,51,Moderate,PM2.5,02-013-0002,1,2021-01-22 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-25,14,Good,PM2.5,02-013-0002,1,2021-01-25 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-28,26,Good,PM2.5,02-013-0002,1,2021-01-28 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-01-31,12,Good,PM2.5,02-013-0002,1,2021-01-31 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-02-03,15,Good,PM2.5,02-013-0002,1,2021-02-03 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-02-06,33,Good,PM2.5,02-013-0002,1,2021-02-06 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-02-09,17,Good,PM2.5,02-013-0002,1,2021-02-09 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-02-12,22,Good,PM2.5,02-013-0002,1,2021-02-12 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-02-15,36,Good,PM2.5,02-013-0002,1,2021-02-15 16:30:00,2021-12-31 23:12:00
Alaska,Aleutians East ,2,13,2021-02-18,4,Good,PM2.5,02-013-0002,1,2021-02-18 16:30:00,2021-12-31 23:12:00
